Timestamp,WW_supply_flow,WW_ammonia_measurement,WW_Secondary_Sediment_Flow,WW_effluent_flow_measurement_,WW_effluent_recirculation_flow_measurment,WW_dry_substance_measurement,WW_sec_Sediment_dry_substance_measurement,WW_effluent_jack_Flow,WW_section_1_air_flow_measurement,WW_section_2_air_flow_measurement,WW_section_3_air_flow_measurement,WW_Settled_Solids,WW_Precipitate_mm,WW_nitrate_measurement_BLT_4_comp__3,WW_nitrate_measurement_BLT_4_comp__5_of_9,WW_nitrate_measurement_BLT_4_comp__6_of_10,WW_nitrate_measurement_Before_Aeration,WW_Aeration_Point_BLT_4_comp__10_,WW_Aeration_Point_BLT_4_comp__3,WW_Aeration_Point_BLT_4_comp__4,WW_Aeration_Point_BLT_4_comp__5_,WW_Aeration_Point_BLT_4_comp__6,WW_Aeration_Point_BLT_4_comp__7,WW_Aeration_Point_BLT_4_comp__8_,WW_Aeration_Point_BLT_4_comp__9,WW_Temperature_Measurement_BLT_4,WW_Turbid_Measurement,WW_Oxygen_Measurement_BLT_4_comp__10,WW_Oxygen_Measurement_BLT_4_comp__4,WW_Oxygen_Measurement_BLT_4_comp__6,WW_Oxygen_Measurement_BLT_4_comp__8,WW_Oxygen_Measurement__Before_Aeration_Section_2_
21/09/2007 13:50,2124.81,0,-0.0405093,1625,3108,3.31308,4.71933,4818.91,1200,2192,3375,530,0,3.63997,2.9241,3.70334,0,30.2378,0,0,0,0,58.8559,52.8821,31.0049,18.6644,0,2.64178,0.249537,0.0801918,1.4511,5
21/09/2007 14:00,2423.03,0,-0.0405093,1625,3108,3.28567,4.71885,5492.26,1200,2192,3375,530,0,3.76611,2.80311,3.26736,0,29.2876,0,0,0,0,53.3632,49.5144,31.9137,18.6765,0,2.70789,0.259954,0.0597994,1.43519,5
21/09/2007 14:10,2770.25,0,71.6609,1625,3108,3.32678,4.70486,6165.91,1200,2192,3375,530,0,3.67768,2.70884,3.12934,0,30.7109,0,0,0,0,47.8305,64.3085,30.9171,18.6885,0,2.57813,0.27037,0.0549769,1.5191,5
21/09/2007 14:20,3126.45,0,-0.0405093,1625,3108,3.42785,4.341,7064.71,1200,2192,3375,530,0,3.63021,2.85496,3.76801,0,29.321,0,0,0,0,50.3162,53.3231,30.5105,18.7006,0,2.13831,0.280787,0.0501543,1.4511,5
21/09/2007 14:30,3492.48,0,-0.0405093,1625,3108,3.63715,4.0285,7918.6,1200,2192,3375,530,0,3.70384,2.8125,3.59158,0,56.9716,0,0,0,0,56.6909,63.9477,61.7827,18.7126,0,2.89545,0.291204,0.0453318,1.36671,5
21/09/2007 14:40,3771.41,0,-0.0405093,1625,3682,3.75579,4.09831,8583.2,1200,2192,3375,530,0,3.61245,2.76722,2.77363,0,54.8868,0,0,0,0,52.6015,50.7171,62.9293,18.7261,0,2.74981,0.287905,0.0405093,1.28183,5
21/09/2007 14:50,4142.36,0,-0.0405093,1625,3682,3.73995,3.65813,9444.63,1207,2192,3375,530,0,3.52105,2.80387,2.76345,0,57.3725,0,0,0,0,52.6416,50.1959,62.3039,18.743,0,1.95891,0.283083,0.0356867,1.23264,5
21/09/2007 15:00,4398.75,0,-0.0405093,1625,3682,3.70949,3.76072,9933.25,1207,2192,3375,530,0,3.77279,2.84052,2.96061,0,56.4103,0,0,0,0,50.2962,49.5144,56.4103,18.7599,0,1.37037,0.27826,0.0347222,1.182,5
21/09/2007 15:10,4382.96,0,-0.0405093,1625,3682,3.58507,3.81607,9856.02,1207,2192,3375,530,0,4.02561,2.87717,3.2576,0,53.8644,0,0,0,0,48.7526,53.0024,57.172,18.7768,0,1.25145,0.273438,0.0347222,1.17477,5
21/09/2007 15:20,4367.17,0.335648,-0.0405093,1625,3682,3.44734,4.10113,9778.8,1207,2192,3375,530,0,4.08203,2.91548,3.35297,0,55.0872,0,0,0,0,49.1535,55.8089,55.9893,18.7936,0,1.2623,0.268615,0.0347222,1.28266,5
21/09/2007 15:30,4351.38,0.775463,-0.0405093,1625,3682,3.2891,4.14478,9701.57,1207,2192,3375,530,0,3.94097,2.96868,3.54937,0,54.4973,0,0,0,0,55.007,49.0332,54.9669,18.8105,0,1.23698,0.263792,0.0347222,1.25694,5
21/09/2007 15:40,3633.68,1.26447,-0.0405093,1625,3682,3.18246,4.22526,8258.28,1207,2192,3375,530,0,3.77713,3.02188,3.7908,0,51.4388,0,0,0,66.1127,55.3278,46.0263,54.2052,18.8296,0,1.23192,0.264178,2.56076,1.19792,5
21/09/2007 15:50,2643.81,1.6088,-0.0405093,1625,2500,3.09317,4.69546,6075.48,1207,2192,3375,530,0,3.67036,3.07509,4.57899,0,55.4481,0,0,0,64.8698,54.8868,54.0047,54.566,18.8537,0,1.30932,0.265143,2.43924,1.2624,5
21/09/2007 16:00,1641.72,1.56105,-0.0405093,1625,2500,3.05073,5.39424,3808.59,1207,2192,3375,530,0,3.56358,3.33116,5.16884,0,54.546,0,0,0,67.9169,57.9338,45.7857,56.9235,18.8778,0,1.36429,0.266107,2.46528,1.54514,5
21/09/2007 16:10,1612.27,1.46412,71.7419,1625,2500,3.04543,5.65972,3663.92,1207,2192,3375,530,0,3.74783,3.41363,5.37109,0,57.1319,0,0,0,69.4003,46.1466,52.401,58.6956,18.9019,0,1.5162,0.267072,2.54051,1.49016,5
21/09/2007 16:20,1612.27,0.827546,-0.0405093,1625,2500,3.07726,5.45415,3663.92,1207,2192,3375,530,0,4.03494,3.38469,5.52908,0,56.5038,0,0,0,66.9546,50.8374,49.1535,57.7935,18.926,0,2.26273,0.268036,2.56366,1.49884,5
21/09/2007 16:30,2714.99,0.0925926,-0.0405093,0,2500,3.14525,5.22569,6192.13,1207,2192,3375,530,0,4.1339,3.24436,5.66623,0,29.1974,0,0,0,70.3224,53.3231,52.7218,31.8335,18.9501,0,2.69965,0.269001,2.50637,1.4728,5
21/09/2007 16:40,2665.22,0,-0.0405093,0,2500,3.35069,4.54391,6066.14,1207,2192,3375,530,0,4.23286,3.09462,5.68273,0,29.3879,0,0,0,72.4072,54.2052,52.2807,30.7911,18.9648,0,2.70415,0.268663,2.48915,1.46991,5
21/09/2007 16:50,2686.44,0,-0.0405093,0,2500,3.60243,4.55006,6124.08,1207,2192,3375,530,0,4.32075,2.94488,5.70074,0,29.7888,0,0,0,0,60.7804,55.3679,30.9114,18.9576,0,2.83275,0.268181,0.0998264,1.57176,5
21/09/2007 17:00,2691.96,0,-0.0405093,0,2500,3.83295,4.12443,6133.9,1207,2192,3375,530,0,4.57899,3.13006,4.94032,0,29.869,0,0,0,0,53.4434,49.4743,31.0798,18.9504,0,2.93306,0.267699,0.0882523,1.46875,5
21/09/2007 17:10,2656.6,0,-0.0405093,0,2500,4.00463,4.01092,6076.99,1207,2192,3375,530,0,4.75116,3.28288,4.19379,0,29.9091,0,0,0,0,52.2807,55.408,30.9114,18.9431,0,2.75752,0.267216,0.0681292,1.50463,5
21/09/2007 17:20,2693.29,0,-0.0405093,0,2500,4.03646,3.95166,6121.6,1207,2192,3375,530,0,4.67665,3.40332,3.55642,0,31.192,0,0,0,0,58.2545,45.9862,29.4681,18.9359,0,2.40451,0.266734,0.0434028,1.23698,5
21/09/2007 17:30,2693.29,0,-0.0405093,0,2500,4.00752,3.88756,6121.6,1207,2192,3375,530,0,5.4362,3.65451,3.70812,0,15.0147,0,0,0,0,54.9269,61.7025,31.0317,18.9287,0,1.97627,0.266252,0.135995,1.34838,5
21/09/2007 17:40,2915.83,0,-0.0405093,0,2500,3.95213,3.73884,6735.52,1200,2192,3375,530,0,5.56261,3.80968,3.89692,0,29.4413,0,0,0,0,54.2453,56.8914,31.192,18.9258,0,2.50868,0.26794,0.0752315,1.32427,5
21/09/2007 17:50,2977,0,-0.0405093,0,2500,3.84324,3.69141,6802.15,1200,2192,3375,530,0,5.40961,4.01367,4.10438,0,55.849,0,0,0,0,58.9361,47.1088,57.3324,18.933,0,2.91377,0.269869,0.0491898,1.14294,5
21/09/2007 18:00,3084.36,0,-0.0405093,0,2500,3.76323,4.01765,7017.01,1200,2192,3375,530,0,4.95226,4.27713,4.67513,0,53.5236,0,0,0,0,48.2715,44.0217,59.5375,18.9402,0,2.21933,0.271798,0.0491898,1.1767,5
21/09/2007 18:10,3173.61,0,71.8229,0,2500,3.68598,4.29941,7235.6,1200,2192,3375,530,0,5.0651,4.37869,4.87847,0,28.3054,0,0,0,67.9569,59.1767,53.9245,29.2409,18.9475,0,2.3669,0.273727,1.62616,1.3058,5
21/09/2007 18:20,3392.94,0,-0.0405093,0,2500,3.58941,4.1569,7756.14,1200,2192,3375,530,0,5.00217,4.48025,5.87023,0,56.6909,0,0,0,67.0348,50.0756,57.6531,61.061,18.9547,0,2.90509,0.275656,2.49325,1.3235,5
21/09/2007 18:30,3735.53,0,-0.0405093,0,2500,3.54601,4.07958,8475.3,1200,2192,3375,530,0,4.8447,4.68859,6.78364,0,30.2098,0,0,0,64.2283,62.9454,53.1227,29.0521,18.962,0,2.24826,0.277585,2.42284,1.6059,5
21/09/2007 18:40,3744.5,0,-0.0405093,0,2500,3.49175,4.04008,8515.44,1200,2192,3375,530,0,4.76847,4.58659,6.28098,0,29.4012,0,0,0,69.8413,54.2553,47.0286,28.4791,18.9663,0,2.40741,0.273872,2.46335,1.23264,5
21/09/2007 18:50,3851.44,0,-0.0405093,0,2500,3.44305,4.31337,8713.11,1200,2192,3375,530,0,4.69225,4.48459,6.16759,0,29.7888,0,0,0,68.1039,48.365,44.3825,28.7143,18.9639,0,2.62683,0.269531,2.46206,1.30208,5
21/09/2007 19:00,4282.62,0,-0.0405093,0,2500,3.39515,4.12326,9733.3,1200,2192,3375,530,0,4.61602,4.31207,6.05668,0,29.6084,0,0,0,67.1551,54.8467,49.354,28.5994,18.9615,0,2.5352,0.265191,2.39294,1.24711,5
21/09/2007 19:10,4427.84,0,-0.0405093,0,2500,3.34622,4.22526,10060.4,1200,2192,3375,530,0,4.67231,4.44227,5.96814,0,30.1897,0,0,0,63.5868,50.0756,55.0872,30.5105,18.9591,0,2.22439,0.260851,2.48843,1.27025,5
21/09/2007 19:20,4550.64,0,-0.0405093,0,2500,3.27402,4.3193,10342.5,1200,2192,3375,530,0,4.86111,4.44625,5.8796,0,53.9245,0,0,0,67.9569,55.1674,47.63,55.6485,18.9566,0,2.7691,0.25651,2.40741,1.14294,5
21/09/2007 19:30,4515.67,0,-0.0405093,0,2500,3.22007,4.5216,10262.8,1200,2192,3375,530,0,4.65698,4.324,5.94575,0,29.1072,0,0,0,66.8744,48.5922,46.347,27.7842,18.9542,0,2.06887,0.25217,2.59259,1.21817,5
21/09/2007 19:40,4412.15,0,-0.0405093,0,2500,3.17366,4.30628,10027.7,1200,2192,3375,530,0,4.58398,4.42166,6.24674,0,29.2542,0,0,0,63.1458,52.5213,49.9153,29.4079,18.9591,0,2.64757,0.249566,2.55266,1.33102,5
21/09/2007 19:50,4507.91,0,-0.0405093,0,2500,3.12789,4.59144,10245.5,1200,2192,3375,530,0,4.70768,4.51931,6.09863,0,54.2453,0,0,0,67.4758,43.1396,48.1312,56.2499,18.9808,0,2.76042,0.247155,2.55845,1.13571,5
21/09/2007 20:00,4233.8,0,-0.0405093,0,2500,3.09544,4.63903,9635.87,1200,2192,3375,530,0,4.64115,4.33413,5.95052,0,28.8667,0,0,0,64.2684,48.9931,51.4388,62.4242,19.0025,0,1.98785,0.244743,2.47975,1.32813,5
21/09/2007 20:10,4266.66,0,72.4306,0,2500,3.10676,4.98987,9701.31,1200,2192,3375,530,0,4.55347,4.28413,6.0625,0,29.5081,0,0,0,66.4134,53.8444,42.9492,28.7063,19.0242,0,2.73148,0.242332,2.41551,1.16319,5
21/09/2007 20:20,4368.49,0,-0.0405093,0,2500,3.11808,4.6799,9873.23,1200,2192,3200,530,0,4.46723,4.3693,6.17448,0,54.0448,0,0,0,65.5113,54.7264,53.2029,56.1965,19.0459,0,2.70833,0.239921,2.47106,1.33681,5
21/09/2007 20:30,4238.5,0,-0.0405093,0,2500,3.1294,4.71999,9591.32,1175,2192,3200,530,0,4.38314,4.3316,6.17166,0,28.7664,0,0,0,66.1795,46.1065,44.5028,28.5058,19.0676,0,2.20197,0.23751,2.40945,1.18924,5
21/09/2007 20:40,4264.47,0.0036169,-0.0405093,0,2500,3.14073,4.88281,9714.43,1175,2192,3200,530,0,4.26793,4.12257,6.05404,0,54.6863,0,0,0,70.8035,61.3417,52.5614,56.2299,19.0799,0,2.74788,0.237269,2.35669,1.30498,5
21/09/2007 20:50,4192.25,0.0108507,-0.0405093,0,2500,3.16627,4.94909,9566.7,1175,2192,3200,530,0,4.10603,4.02452,5.93641,0,28.4657,0,0,0,66.1929,51.7194,50.5969,39.4912,19.0702,0,2.34375,0.237269,2.36028,1.33247,5
21/09/2007 21:00,4233.8,0.0180845,-0.0405093,0,2500,3.2013,4.63976,9622.76,1175,2192,3200,530,0,3.94414,4.16558,5.49479,0,55.007,0,0,0,66.0325,50.7171,46.7881,57.8135,19.0606,0,2.41898,0.237269,2.3235,1.13542,5
21/09/2007 21:10,4238.5,0.0253183,-0.0405093,0,2500,3.23544,5.07632,9632.7,1175,2192,3200,530,0,4.06467,3.74957,5.2322,0,55.7888,0,0,0,72.5676,53.7241,51.7796,55.8891,19.0509,0,2.30903,0.237269,2.28492,1.3182,5
21/09/2007 21:20,3917.82,0.0325521,-0.0405093,0,2500,3.26919,4.60069,8929.22,1175,2192,3200,530,0,4.46984,3.83377,5.5957,0,55.1674,0,0,0,68.0371,54.8066,58.0942,57.1881,19.0413,0,1.99363,0.237269,2.24633,1.30903,5
21/09/2007 21:30,4092.88,0.0397859,-0.0405093,0,2500,3.27648,5.11936,9121.27,1175,2192,3200,530,0,4.11827,3.90069,5.62428,0,56.0093,0,0,0,67.4758,55.2075,50.4365,58.2545,19.0316,0,1.63194,0.237269,2.25694,1.39757,5
21/09/2007 21:40,4041.38,0.0951815,-0.0405093,0,2500,3.28082,4.73287,9185.11,1175,2192,3200,530,0,4.42187,3.83255,5.4579,0,54.558,0,0,0,67.556,52.0803,50.9176,57.2222,19.0256,0,1.46412,0.237269,2.29311,1.22049,5
21/09/2007 21:50,3928.82,0.198739,-0.0405093,0,2500,3.28516,4.8083,8903.9,1175,2192,3200,530,0,4.59418,3.76441,5.28429,0,56.4905,0,0,0,67.1551,62.0633,53.4033,55.7688,19.028,0,1.45255,0.237269,2.19907,1.46123,5
21/09/2007 22:00,3962.96,0.356481,-0.0405093,0,2500,3.2895,4.74609,9041.74,1175,2192,3200,530,0,4.45088,3.90077,5.25174,0,56.3501,0,0,0,67.7565,52.0803,44.5028,57.1319,19.0304,0,1.36311,0.237269,2.18497,1.22287,5
21/09/2007 22:10,4007.09,0.553819,72.5521,0,2989,3.29384,4.96076,9067.74,1175,2192,3200,530,0,4.5565,3.85993,5.03906,0,56.8112,0,0,0,63.3864,50.236,45.7056,58.1343,19.0328,0,1.29919,0.237269,2.14699,1.11111,5
21/09/2007 22:20,3858.22,0.75,-0.0405093,0,2989,3.29818,4.54156,8768.49,1175,2192,3200,530,0,4.47673,3.81909,5.05425,0,55.4481,0,0,0,67.997,51.7996,49.6346,56.2499,19.0353,0,1.30594,0.237269,2.24601,1.23636,5
21/09/2007 22:30,3849.1,0.945602,-0.0405093,0,2989,3.31095,4.80975,8771.98,1175,2192,3200,530,0,4.37636,3.77825,5.38122,0,53.5236,0,0,0,64.529,48.913,47.0687,56.6508,19.0377,0,1.40046,0.237269,2.2555,1.19792,5
21/09/2007 22:40,3865.98,1.11111,-0.0405093,0,2989,3.32465,4.73495,8809.63,1175,2192,3200,530,0,4.391,3.73741,5.5212,0,54.2052,0,0,0,65.5113,52.5213,50.236,57.6531,19.0372,0,1.35417,0.241609,2.22222,1.10243,5
21/09/2007 22:50,3819.77,1.25752,-0.0405093,0,2989,3.33836,4.90822,8704.85,1175,2192,3200,530,0,4.41842,3.69658,5.47418,0,55.1101,0,0,0,68.1574,53.1628,48.3517,55.3278,19.0299,0,1.35417,0.246431,2.19329,1.2562,5
21/09/2007 23:00,3895.2,1.34693,-0.0405093,0,2989,3.35184,4.53921,8857.96,1175,2192,3200,530,0,4.44585,3.8878,5.42716,0,55.3278,0,0,0,66.233,49.9153,47.3894,55.9492,19.0227,0,1.32957,0.251254,2.1711,1.18519,5
21/09/2007 23:10,3838.77,1.39757,-0.0405093,0,2989,3.36329,4.75405,8637.15,1175,2192,3200,530,0,4.47327,3.86198,5.38014,0,56.0093,0,0,0,66.6339,50.8575,48.4319,56.2098,19.0155,0,1.27083,0.256076,2.1441,1.18576,5
21/09/2007 23:20,3770.83,1.46036,-0.0405093,0,2989,3.37475,4.65326,8576.57,1175,2192,3200,530,0,4.50069,3.80917,5.33312,0,52.4812,0,0,0,65.8721,53.6439,47.2291,57.2522,19.0082,0,1.29123,0.260899,2.19907,1.19792,5
21/09/2007 23:30,3816.89,1.53125,-0.0405093,0,2989,3.3862,4.93779,8657.95,1175,2192,3200,530,0,4.49371,3.75637,5.65809,0,53.8043,0,0,0,63.3864,55.5282,41.6963,55.8089,19.001,0,1.30015,0.265721,2.22512,1.15451,5
21/09/2007 23:40,3850.41,1.50231,-0.0405093,0,2989,3.39765,4.52167,8778.21,1175,2192,3200,530,0,4.43511,3.92296,5.87999,0,54.0448,0,43.9014,0,63.8675,54.8266,54.0047,55.6485,19.0502,0,1.28183,3.19155,2.11227,1.22917,5
21/09/2007 23:50,3736.55,1.44387,-0.0405093,0,2989,3.37818,4.73479,8516.8,1175,2192,3200,530,0,4.37652,4.22357,6.03606,0,54.7464,0,48.3918,0,62.7315,53.1227,45.1844,56.5306,19.231,0,1.22396,2.5,2.11227,1.12269,5
22/09/2007 00:00,3804.69,1.41011,-0.0405093,0,2989,3.38276,4.67169,8647.1,1175,2192,3200,500,0,4.31793,4.34683,6.12684,0,53.4033,0,45.2645,0,65.9122,48.5521,46.2669,55.408,19.0119,0,1.26447,1.85185,2.21282,1.25289,5
22/09/2007 00:10,3831.66,1.37635,72.2685,0,2989,3.40058,4.82422,8720.16,1175,2192,3200,500,0,4.32989,4.4701,6.21763,0,54.125,0,49.7549,0,65.2306,57.0117,44.0618,55.7688,19.0143,0,1.29919,2.17882,2.23054,1.11979,5
22/09/2007 00:20,3762.95,1.30469,-0.0405093,0,2989,3.3904,4.56219,8533.17,1175,2192,3200,500,0,4.4477,4.53158,6.4822,0,53.4635,0,19.7656,0,63.1057,53.8043,52.5213,55.9693,19.0167,0,1.34404,2.54051,2.22553,1.14583,5
22/09/2007 00:30,3799.84,1.20775,-0.0405093,0,2989,3.38022,4.75926,8656.41,1175,2192,3200,500,0,4.63303,4.58619,6.55967,0,54.3121,0,48.1913,0,68.8791,48.6724,43.8613,56.9716,19.0191,0,1.39757,2.99479,2.20941,1.15162,5
